# 2theta(deg)  intensity
4.173192207243931473e-01 1.210667846679687500e+03
4.193800563822914218e-01 1.214409790039062500e+03
4.214408920401896963e-01 1.218699829101562500e+03
4.235017276980878598e-01 1.228132446289062500e+03
4.255625633559861343e-01 1.236488891601562500e+03
4.276233990138844088e-01 1.243880859375000000e+03
4.296842346717825722e-01 1.248402343750000000e+03
4.317450703296808467e-01 1.252510986328125000e+03
4.338059059875791212e-01 1.257782958984375000e+03
4.358667416454772847e-01 1.262766113281250000e+03
4.379275773033755592e-01 1.268006958007812500e+03
4.399884129612738337e-01 1.274177246093750000e+03
4.420492486191719972e-01 1.282402954101562500e+03
4.441100842770702717e-01 1.288124389648437500e+03
4.461709199349685462e-01 1.293489990234375000e+03
4.482317555928667652e-01 1.299202758789062500e+03
4.502925912507649842e-01 1.300551879882812500e+03
4.523534269086632031e-01 1.302724975585937500e+03
4.544142625665614776e-01 1.304565185546875000e+03
4.564750982244596966e-01 1.305975341796875000e+03
4.585359338823579156e-01 1.308616577148437500e+03
4.605967695402561901e-01 1.310276733398437500e+03
4.626576051981544091e-01 1.310443969726562500e+03
4.647184408560526281e-01 1.313507934570312500e+03
4.667792765139509026e-01 1.316005126953125000e+03
4.688401121718491216e-01 1.318427124023437500e+03
4.709009478297473406e-01 1.320668701171875000e+03
4.729617834876456151e-01 1.320803955078125000e+03
4.750226191455438340e-01 1.320361938476562500e+03
4.770834548034421640e-01 1.320022460937500000e+03
4.791442904613403275e-01 1.318449951171875000e+03
4.812051261192385465e-01 1.321354248046875000e+03
4.832659617771368765e-01 1.323863525390625000e+03
4.853267974350350400e-01 1.324147460937500000e+03
4.873876330929332590e-01 1.322881591796875000e+03
4.894484687508315890e-01 1.319811889648437500e+03
4.915093044087297525e-01 1.317849365234375000e+03
4.935701400666279715e-01 1.319889038085937500e+03
4.956309757245263015e-01 1.322792724609375000e+03
4.976918113824244649e-01 1.322781494140625000e+03
4.997526470403226839e-01 1.321619628906250000e+03
5.018134826982210139e-01 1.319229003906250000e+03
5.038743183561191774e-01 1.315146972656250000e+03
5.059351540140173409e-01 1.312898315429687500e+03
5.079959896719157264e-01 1.313523681640625000e+03
5.100568253298138899e-01 1.313023071289062500e+03
5.121176609877120534e-01 1.312446411132812500e+03
5.141784966456104389e-01 1.307279907226562500e+03
5.162393323035086024e-01 1.304457275390625000e+03
5.183001679614067658e-01 1.299362670898437500e+03
5.203610036193051513e-01 1.295285278320312500e+03
5.224218392772033148e-01 1.293024536132812500e+03
5.244826749351014783e-01 1.286080078125000000e+03
5.265435105929998638e-01 1.278897583007812500e+03
5.286043462508980273e-01 1.273693847656250000e+03
5.306651819087961908e-01 1.266465332031250000e+03
5.327260175666945763e-01 1.264858520507812500e+03
5.347868532245927398e-01 1.261864257812500000e+03
5.368476888824909032e-01 1.257762817382812500e+03
5.389085245403892888e-01 1.255755126953125000e+03
5.409693601982874522e-01 1.251986572265625000e+03
5.430301958561856157e-01 1.246017578125000000e+03
5.450910315140840012e-01 1.242650878906250000e+03
5.471518671719821647e-01 1.238901855468750000e+03
5.492127028298803282e-01 1.232454345703125000e+03
5.512735384877787137e-01 1.225690673828125000e+03
5.533343741456768772e-01 1.220796508789062500e+03
5.553952098035750407e-01 1.218490600585937500e+03
5.574560454614734262e-01 1.215531616210937500e+03
5.595168811193715896e-01 1.214517089843750000e+03
5.615777167772697531e-01 1.213387817382812500e+03
5.636385524351681386e-01 1.208904052734375000e+03
5.656993880930663021e-01 1.207305175781250000e+03
5.677602237509644656e-01 1.205890625000000000e+03
5.698210594088628511e-01 1.203392456054687500e+03
5.718818950667610146e-01 1.202738525390625000e+03
5.739427307246591781e-01 1.202798461914062500e+03
5.760035663825575636e-01 1.201250244140625000e+03
5.780644020404557271e-01 1.200468872070312500e+03
5.801252376983538905e-01 1.197610351562500000e+03
5.821860733562522761e-01 1.195108154296875000e+03
5.842469090141504395e-01 1.192582153320312500e+03
5.863077446720487140e-01 1.191256713867187500e+03
5.883685803299469885e-01 1.189587768554687500e+03
5.904294159878451520e-01 1.187929321289062500e+03
5.924902516457434265e-01 1.184007080078125000e+03
5.945510873036417010e-01 1.180349731445312500e+03
5.966119229615398645e-01 1.178025634765625000e+03
5.986727586194381390e-01 1.175227416992187500e+03
6.007335942773364135e-01 1.173572265625000000e+03
6.027944299352345769e-01 1.172394042968750000e+03
6.048552655931328514e-01 1.171422119140625000e+03
6.069161012510311259e-01 1.171130249023437500e+03
6.089769369089292894e-01 1.171189453125000000e+03
6.110377725668275639e-01 1.171694946289062500e+03
6.130986082247258384e-01 1.173292114257812500e+03
6.151594438826240019e-01 1.173325439453125000e+03
6.172202795405222764e-01 1.174427978515625000e+03
6.192811151984205509e-01 1.172668212890625000e+03
6.213419508563187144e-01 1.171558349609375000e+03
